Unknown Tape,09:26:40:12,09:27:46:12,AA023701.mov,,S45_T02  rail platform  noon  masha,,,
Unknown Tape,09:31:47:08,09:32:43:08,AA007901.mov,,,,S23B_T01,
Unknown Tape,09:32:14:08,09:33:06:08,AA009101.mov,,S16_T01,,,
Unknown Tape,09:32:48:12,09:34:04:12,AA014901.mov,,S15_T01  recording studio  late morning  masha,,,
Unknown Tape,09:33:12:12,09:34:26:00,AA008001.mov,,,,S23B_T02,
Unknown Tape,09:33:27:00,09:34:33:00,AA023801.mov,,S45_T03  rail platform  noon  masha,,,
Unknown Tape,09:34:22:20,09:35:12:20,AA009201.mov,,S16_T02,,,
Unknown Tape,09:36:24:00,09:37:35:00,AA008101.mov,,,,S23C_T01,
Unknown Tape,09:36:50:17,09:38:26:17,AA018201.mov,,S29_T01  ferns house  late afternoon  fern,,,
Unknown Tape,09:37:06:12,09:38:27:12,AA015001.mov,,S15_T02  recording studio  late morning  masha,,,
Unknown Tape,09:40:15:01,09:41:26:13,AA018301.mov,,S29_T02  ferns house  late afternoon  fern,,,
Unknown Tape,09:40:40:12,09:41:58:12,AA015101.mov,,S15_T03  recording studio  late morning  masha,,,
Unknown Tape,09:43:47:08,09:44:55:20,AA015201.mov,,S15_T04  recording studio  late morning  masha,,,
Unknown Tape,09:45:52:04,09:47:49:16,AA023901.mov,,S43_T01  rail platform  late morning  masha,,,
Unknown Tape,09:49:14:08,09:50:08:08,AA024001.mov,,S43_T02  rail platform  late morning  masha,,,
Unknown Tape,09:53:53:00,09:54:37:12,AA009301.mov,,S16A_T01,,,
Unknown Tape,09:54:40:12,09:56:19:00,AA024101.mov,,S43A_T01  rail platform  late morning  masha,,,
Unknown Tape,09:55:54:00,09:56:30:00,AA009401.mov,,S16A_T02,,,
Unknown Tape,10:00:10:04,10:02:21:16,AA015301.mov,,S20_T01  recording studio  noon  masha,,,
Unknown Tape,10:02:01:00,10:03:05:12,AA009501.mov,,S16B_T01,,,
Unknown Tape,10:03:44:04,10:04:25:16,AA009601.mov,,S16B_T02,,,
Unknown Tape,10:04:02:07,10:05:01:07,AA018401.mov,,S38_T01  ferns house  morning  fern,,,
Unknown Tape,10:05:53:12,10:07:28:12,AA015401.mov,,S20_T02  recording studio  noon  masha,,,
Unknown Tape,10:27:38:20,10:28:30:20,AA009701.mov,,S16C_T01,,,
Unknown Tape,10:30:26:12,10:31:25:00,AA009801.mov,,S16C_T02,,,
Unknown Tape,10:30:28:20,10:31:28:20,AA024201.mov,,S24_T01  rail platform  afternoon  masha,,,
Unknown Tape,10:32:34:00,10:33:26:00,AA009901.mov,,S16C_T03,,,
Unknown Tape,10:32:35:08,10:33:43:20,AA024301.mov,,S24_T02  rail platform  afternoon  masha,,,
Unknown Tape,10:33:52:08,10:34:42:20,AA010001.mov,,S16C_T04,,,
Unknown Tape,10:34:02:00,10:34:22:00,AA024401BRoll.mov,,,,,
Unknown Tape,10:34:51:00,10:35:56:00,AA024501.mov,,S24_T03  rail platform  afternoon  masha,,,
Unknown Tape,10:35:06:01,10:36:14:01,AA018501.mov,,S59_T01  ferns house  morning  fern,,,
Unknown Tape,10:35:32:20,10:36:25:20,AA010101.mov,,S16C_T05,,,
Unknown Tape,10:36:50:00,10:37:36:00,AA010201.mov,,S16C_T06,,,
Unknown Tape,10:37:06:08,10:38:17:20,AA024601.mov,,S24_T04  rail platform  afternoon  masha,,,
Unknown Tape,10:37:46:17,10:38:35:17,AA018601.mov,,S59_T02  ferns house  morning  fern,,,
Unknown Tape,10:40:21:05,10:41:03:05,AA018701.mov,,S59_T03  ferns house  morning  fern,,,
Unknown Tape,10:45:15:04,10:45:27:04,AA024701BRoll.mov,,,,,
Unknown Tape,10:46:21:16,10:47:38:16,AA024801.mov,,S24A_T01  rail platform  afternoon  masha,,,
Unknown Tape,10:46:36:16,10:47:49:04,AA015501.mov,,S20A_T01  recording studio  noon  john,,,
Unknown Tape,10:48:56:01,10:50:05:01,AA024901.mov,,S24A_T02  rail platform  afternoon  masha,,,
Unknown Tape,10:49:10:20,10:50:08:20,AA015601.mov,,S20A_T02  recording studio  noon  john,,,
Unknown Tape,10:50:33:13,10:51:49:01,AA025001.mov,,S24A_T03  rail platform  afternoon  masha,,,
Unknown Tape,10:51:47:12,10:53:00:12,AA015701.mov,,S20A_T03  recording studio  noon  john,,,
Unknown Tape,10:54:24:20,10:55:49:08,AA015801.mov,,S20A_T04  recording studio  noon  john,,,
Unknown Tape,10:57:07:16,10:58:36:04,AA015901.mov,,S20A_T05  recording studio  noon  john,,,
Unknown Tape,11:11:57:03,11:13:03:03,AA010301.mov,,S25_T01,,,
Unknown Tape,11:14:17:07,11:15:18:07,AA010401.mov,,S25_T02,,,
Unknown Tape,11:14:29:21,11:15:55:21,AA016001.mov,,S15A_T01  recording studio  late morning  john,,,
Unknown Tape,11:14:58:12,11:15:10:00,AA025101.mov,,,,,
Unknown Tape,11:14:58:12,11:15:10:00,AA025101BRoll.mov,,,,,
Unknown Tape,11:15:35:00,11:19:12:00,AA025201.mov,,S26_T01  rail platform  afternoon  masha  scene 28  shot 28  take 1  rail platform  afternoon  masha,,,
Unknown Tape,11:15:47:07,11:16:49:07,AA010501.mov,,S25_T03,,,
Unknown Tape,11:18:27:09,11:20:33:09,AA016101.mov,,S15A_T02  recording studio  late morning  john,,,
Unknown Tape,11:20:14:12,11:23:41:12,AA025301.mov,,S26_T02  rail platform  afternoon  masha  scene 28  shot 28  take 2  rail platform  afternoon  masha,,,
Unknown Tape,11:21:33:09,11:22:51:09,AA016201.mov,,S15A_T03,,,
Unknown Tape,11:23:53:23,11:23:54:23,AA018801FALSETAKE.mov,,,,,
Unknown Tape,11:24:00:09,11:25:21:21,AA016301.mov,,S15A_T04  recording studio  late morning  john,,,
Unknown Tape,11:27:30:09,11:32:32:21,AA025401.mov,,S26A_T01  rail platform  afternoon  masha  scene 28A  shot 28  take 1  rail platform  afternoon  masha,,,
Unknown Tape,11:27:33:03,11:28:35:15,AA016401.mov,,S15A_T05  recording studio  late morning  john,,,
Unknown Tape,11:27:52:15,11:28:36:15,AA018901.mov,,S10_T01  ferns porch  morning  fern,,,
Unknown Tape,11:30:27:11,11:31:09:23,AA019001.mov,,S10_T02  ferns porch  morning  fern,,,
Unknown Tape,11:31:49:03,11:34:51:03,AA010601.mov,,S19D_T01,,,
Unknown Tape,11:32:22:11,11:32:48:11,AA019101.mov,,S10_T03  ferns porch  morning  fern,,,
Unknown Tape,11:33:11:23,11:34:06:23,AA019201.mov,,S10_T04  ferns porch  morning  fern,,,
Unknown Tape,11:35:42:07,11:36:18:07,AA019301.mov,,S10_T05  ferns porch  morning  fern,,,
Unknown Tape,11:37:29:03,11:38:56:15,AA010701.mov,,S19D_T02,,,
Unknown Tape,11:42:36:11,11:43:29:23,AA010801.mov,,S19E_T01,,,
Unknown Tape,11:44:05:11,11:45:22:11,AA010901.mov,,S19E_T02,,,
Unknown Tape,11:49:38:17,11:51:41:05,AA025501.mov,,S22_T01  rail platform  afternoon  masha,,,
Unknown Tape,11:55:21:11,11:56:59:23,AA011001.mov,,S19F_T01,,,
Unknown Tape,11:55:23:17,11:57:27:17,AA025601.mov,,S22_T02  rail platform  afternoon  masha,,,
Unknown Tape,11:58:23:23,11:59:47:11,AA011101.mov,,S19F_T02,,,
Unknown Tape,12:00:06:17,12:01:17:17,AA025701.mov,,S22_T03  rail platform  afternoon  masha,,,
Unknown Tape,12:03:46:21,12:05:42:09,AA025801.mov,,S22A_T01  rail platform  afternoon  masha,,,
Unknown Tape,12:08:05:15,12:09:04:15,AA011201.mov,,S19G_T01,,,
Unknown Tape,12:09:24:03,12:10:24:15,AA011301.mov,,S19G_T02,,,
Unknown Tape,12:10:02:21,12:12:09:09,AA025901.mov,,S22A_T02  rail platform  afternoon  masha,,,
Unknown Tape,12:11:13:15,12:12:17:03,AA011401.mov,,S19G_T03,,,
Unknown Tape,12:43:25:08,12:43:41:08,AA009601FALSE.mov,,,,S4A / S7A_T01 FALSE,
Unknown Tape,12:44:29:11,12:45:01:11,AA019401.mov,,S34_T01  ferns house  evening  fern,34,,
Unknown Tape,12:52:40:10,12:53:24:10,AA019501.mov,,S50_T01  ferns house  evening  fern,50,,
Unknown Tape,12:54:03:02,12:55:40:14,AA026001.mov,,S28B_T01  rail platform  afternoon  masha,,,
Unknown Tape,12:54:14:06,12:54:41:18,AA019601.mov,,S50_T02  ferns house  evening  fern,50,,
Unknown Tape,12:55:31:02,12:55:54:02,AA019701.mov,,S50_T03  ferns house  evening  fern,50,,
Unknown Tape,13:05:41:14,13:05:42:02,AA019801FALSETAKE.mov,,,,,
Unknown Tape,13:20:02:00,13:21:35:00,AA011501.mov,,S46_T01,,,
Unknown Tape,13:21:55:22,13:22:43:22,AA010301_NoSound.mov,,,,S09_T04,
Unknown Tape,13:25:45:20,13:27:22:20,AA011601.mov,,S46_T02,,,
Unknown Tape,13:30:10:10,13:30:58:10,AA026101.mov,,S28C_T01  rail platform  afternoon  samuel  fern,,,
Unknown Tape,13:32:15:18,13:33:07:18,AA026201.mov,,S28C_T02  rail platform  afternoon  samuel  fern,,,
